Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
19%,21-1015.00,Rehabilitation Counselors,Faster than average,50700
19%,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",Average,36400
,19-4099.01,Quality Control Analysts,,
,19-4099.02,Precision Agriculture Technicians,,
,19-4099.03,Remote Sensing Technicians,,
19%,39-1011.00,Gaming Supervisors,Average,14100
19%,29-1125.00,Recreational Therapists,Faster than average,11600
19%,39-3012.00,Gaming and Sports Book Writers and Runners,Average,9000
19%,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Little or no change,6800
19%,49-9069.00,"Precision Instrument and Equipment Repairers, All Other",Little or no change,5000
19%,51-8012.00,Power Distributors and Dispatchers,Little or no change,3500
18%,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Average,118200
18%,43-9199.00,"Office and Administrative Support Workers, All Other",Decline rapidly,70400
18%,21-1023.00,Mental Health and Substance Abuse Social Workers,Much faster than average,61300
18%,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",Decline slowly or moderately,48100
18%,29-2053.00,Psychiatric Technicians,Slower than average,16800
18%,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Slower than average,16400
18%,17-3025.00,Environmental Engineering Technicians,Much faster than average,10400
18%,27-1019.00,"Artists and Related Workers, All Other",Average,6500
18%,19-1011.00,Animal Scientists,Average,1800
18%,53-5022.00,Motorboat Operators,Average,1800
18%,49-2021.00,Radio Mechanics,Decline slowly or moderately,1000
17%,47-2151.00,Pipelayers,Faster than average,22800
17%,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Faster than average,15400
17%,53-4099.00,"Rail Transportation Workers, All Other",Slower than average,1800
16%,23-1011.00,Lawyers,Average,240400
16%,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Faster than average,118600
16%,17-2199.00,"Engineers, All Other",Average,50200
,17-2199.01,Biochemical Engineers,,
,17-2199.02,Validation Engineers,,
,17-2199.03,Energy Engineers,,
,17-2199.04,Manufacturing Engineers,,
,17-2199.05,Mechatronics Engineers,,
,17-2199.06,Microsystems Engineers,,
,17-2199.07,Photonics Engineers,,
,17-2199.08,Robotics Engineers,,
,17-2199.09,Nanosystems Engineers,,
,17-2199.10,Wind Energy Engineers,,
,17-2199.11,Solar Energy Systems Engineers,,
16%,19-4021.00,Biological Technicians,Faster than average,41900
16%,15-2031.00,Operations Research Analysts,Much faster than average,32200
16%,49-3011.00,Aircraft Mechanics and Service Technicians,Slower than average,31400
16%,33-1099.00,"First-Line Supervisors/Managers, Protective Service Workers, All Other",Average,26800
16%,51-8013.00,Power Plant Operators,Little or no change,12200
16%,25-9021.00,Farm and Home Management Advisors,Little or no change,3000
15%,39-9099.00,"Personal Care and Service Workers, All Other",Faster than average,39600
15%,17-3031.00,Surveying and Mapping Technicians,Much faster than average,29400
,17-3031.01,Surveying Technicians,,
,17-3031.02,Mapping Technicians,,
15%,11-3071.00,"Transportation, Storage, and Distribution Managers",Decline slowly or moderately,27400
,11-3071.01,Transportation Managers,,
,11-3071.02,Storage and Distribution Managers,,
15%,47-4099.00,"Construction and Related Workers, All Other",Average,26600
,47-4099.01,Solar Photovoltaic Installers,,
,47-4099.02,Solar Thermal Installers and Technicians,,
,47-4099.03,Weatherization Installers and Technicians,,
15%,29-1031.00,Dietitians and Nutritionists,Average,25700
15%,19-1099.00,"Life Scientists, All Other",Faster than average,4800
15%,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Slower than average,3400
14%,13-1111.00,Management Analysts,Much faster than average,306500
14%,23-2011.00,Paralegals and Legal Assistants,Much faster than average,104000
14%,11-3011.00,Administrative Services Managers,Average,86600
14%,13-1072.00,"Compensation, Benefits, and Job Analysis Specialists",Much faster than average,60500
14%,49-9051.00,Electrical Power-Line Installers and Repairers,Slower than average,45500
14%,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",Average,37700
14%,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",Faster than average,29100
,29-9099.01,Midwives,,
,29-9099.02,Genetic Counselors,,
14%,11-3049.00,"Human Resources Managers, All Other",Average,19300
14%,23-2099.00,"Legal Support Workers, All Other",Average,12400
14%,53-5031.00,Ship Engineers,Faster than average,7000
13%,17-2072.00,"Electronics Engineers, Except Computer",Little or no change,33400
,17-2072.01,Radio Frequency Identification Device Specialists,,
13%,17-3023.00,Electrical and Electronic Engineering Technicians,Little or no change,31000
,17-3023.01,Electronics Engineering Technicians,,
,17-3023.03,Electrical Engineering Technicians,,
13%,17-2011.00,Aerospace Engineers,Average,22300
13%,53-5011.00,Sailors and Marine Oilers,Average,17900
13%,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Faster than average,9100
13%,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Average,6200
13%,17-2161.00,Nuclear Engineers,Average,5400
13%,17-2121.00,Marine Engineers and Naval Architects,Slower than average,2300
,17-2121.01,Marine Engineers,,
,17-2121.02,Marine Architects,,
12%,25-9031.00,Instructional Coordinators,Much faster than average,60600
,25-9031.01,Instructional Designers and Technologists,,
12%,21-1014.00,Mental Health Counselors,Much faster than average,50100
12%,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Much faster than average,35500
12%,19-2031.00,Chemists,Little or no change,30000
12%,33-9021.00,Private Detectives and Investigators,Much faster than average,19300
12%,49-2091.00,Avionics Technicians,Average,5200
11%,49-9042.00,"Maintenance and Repair Workers, General",Average,357500
11%,11-9199.00,"Managers, All Other",Average,297500
,11-9199.01,Regulatory Affairs Managers,,
,11-9199.02,Compliance Managers,,
,11-9199.03,Investment Fund Managers,,
,11-9199.04,Supply Chain Managers,,
,11-9199.05,Online Merchants,,
,11-9199.06,Logistics Managers,,
,11-9199.07,Security Managers,,
,11-9199.08,Loss Prevention Managers,,
,11-9199.09,Wind Energy Operations Managers,,
,11-9199.10,Wind Energy Project Managers,,
,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,
11%,49-1011.00,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",Slower than average,136500
11%,21-1022.00,Medical and Public Health Social Workers,Much faster than average,65900
11%,25-9099.00,"Education, Training, and Library Workers, All Other",Faster than average,42900
11%,49-9099.00,"Installation, Maintenance, and Repair Workers, All Other",Average,41800
,49-9099.01,Geothermal Technicians,,
,49-9099.02,Wind Turbine Service Technicians,,
11%,53-1031.00,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators,Decline slowly or moderately,37700
11%,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Average,6700
10%,43-9061.00,"Office Clerks, General",Average,770900
10%,43-6011.00,Executive Secretaries and Administrative Assistants,Average,419200
10%,17-1022.00,Surveyors,Faster than average,23300
,17-1022.01,Geodetic Surveyors,,
10%,49-9096.00,Riggers,Little or no change,2100
10%,51-4192.00,"Lay-Out Workers, Metal and Plastic",Decline rapidly,1600
10%,53-7031.00,Dredge Operators,Average,800
