Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
,25-1112.00,"Law Teachers, Postsecondary",,
,25-1113.00,"Social Work Teachers, Postsecondary",,
,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",,
,25-1122.00,"Communications Teachers, Postsecondary",,
,25-1123.00,"English Language and Literature Teachers, Postsecondary",,
,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",,
,25-1125.00,"History Teachers, Postsecondary",,
,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",,
,25-1191.00,Graduate Teaching Assistants,,
,25-1192.00,"Home Economics Teachers, Postsecondary",,
,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",,
,25-1194.00,"Vocational Education Teachers, Postsecondary",,
,25-1199.00,"Postsecondary Teachers, All Other",,
98%,25-2032.00,"Vocational Education Teachers, Secondary School",Average,38500
97%,25-2043.00,"Special Education Teachers, Secondary School",Average,57500
95%,11-9033.00,"Education Administrators, Postsecondary",Little or no change,40100
93%,25-2041.00,"Special Education Teachers, Preschool, Kindergarten, and Elementary School",Much faster than average,102900
93%,11-9032.00,"Education Administrators, Elementary and Secondary School",Average,88800
91%,25-2012.00,"Kindergarten Teachers, Except Special Education",Faster than average,63000
91%,25-9011.00,Audio-Visual Collections Specialists,Average,2200
83%,25-9041.00,Teacher Assistants,Average,412700
79%,25-9099.00,"Education, Training, and Library Workers, All Other",Faster than average,42900
74%,21-1012.00,"Educational, Vocational, and School Counselors",Faster than average,94400
73%,27-2032.00,Choreographers,Slower than average,8300
73%,25-9021.00,Farm and Home Management Advisors,Little or no change,3000
70%,25-9031.00,Instructional Coordinators,Much faster than average,60600
,25-9031.01,Instructional Designers and Technologists,,
68%,25-3099.00,"Teachers and Instructors, All Other",Faster than average,225700
,25-3099.01,Adaptive Physical Education Specialists,,
,25-3099.02,Tutors,,
65%,25-3011.00,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",Faster than average,29200
63%,11-9039.00,"Education Administrators, All Other",Much faster than average,16900
,11-9039.01,Distance Learning Coordinators,,
,11-9039.02,Fitness and Wellness Coordinators,,
59%,25-4021.00,Librarians,Average,54500
58%,27-2022.00,Coaches and Scouts,Much faster than average,99200
53%,53-3022.00,"Bus Drivers, School",Slower than average,107100
53%,41-9012.00,Models,Faster than average,1000
48%,29-1127.00,Speech-Language Pathologists,Faster than average,43800
45%,19-4061.00,Social Science Research Assistants,Faster than average,12700
,19-4061.01,City and Regional Planning Aides,,
45%,19-2011.00,Astronomers,Faster than average,700
44%,19-1011.00,Animal Scientists,Average,1800
42%,25-3021.00,Self-Enrichment Education Teachers,Much faster than average,120300
40%,25-4031.00,Library Technicians,Average,64700
40%,13-2071.00,Loan Counselors,Faster than average,8800
39%,29-9091.00,Athletic Trainers,Much faster than average,11500
37%,43-4121.00,"Library Assistants, Clerical",Average,64200
37%,19-3041.00,Sociologists,Much faster than average,2000
35%,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",Average,36400
,19-4099.01,Quality Control Analysts,,
,19-4099.02,Precision Agriculture Technicians,,
,19-4099.03,Remote Sensing Technicians,,
34%,19-4011.00,Agricultural and Food Science Technicians,Average,9600
,19-4011.01,Agricultural Technicians,,
,19-4011.02,Food Science Technicians,,
33%,19-4021.00,Biological Technicians,Faster than average,41900
32%,35-2012.00,"Cooks, Institution and Cafeteria",Average,138100
31%,19-3031.00,"Clinical, Counseling, and School Psychologists",Average,59900
,19-3031.01,School Psychologists,,
,19-3031.02,Clinical Psychologists,,
,19-3031.03,Counseling Psychologists,,
30%,39-9041.00,Residential Advisors,Average,25300
28%,27-3091.00,Interpreters and Translators,Much faster than average,23400
27%,19-1042.00,"Medical Scientists, Except Epidemiologists",Much faster than average,66200
26%,43-9199.00,"Office and Administrative Support Workers, All Other",Decline rapidly,70400
25%,25-4011.00,Archivists,Slower than average,2300
24%,19-1099.00,"Life Scientists, All Other",Faster than average,4800
22%,21-1019.00,"Counselors, All Other",Average,11100
20%,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Slower than average,553000
19%,43-6014.00,"Secretaries, Except Legal, Medical, and Executive",Slower than average,365500
19%,33-9099.00,"Protective Service Workers, All Other",Faster than average,71500
,33-9099.01,Transportation Security Officers,,
,33-9099.02,Loss Prevention Specialists,,
19%,51-8021.00,Stationary Engineers and Boiler Operators,Slower than average,9200
19%,25-4012.00,Curators,Much faster than average,6200
19%,15-2091.00,Mathematical Technicians,Average,500
15%,25-2011.00,"Preschool Teachers, Except Special Education",Faster than average,178300
15%,11-3011.00,Administrative Services Managers,Average,86600
15%,37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,Slower than average,38900
15%,33-9091.00,Crossing Guards,Average,25600
15%,11-9031.00,"Education Administrators, Preschool and Child Care Center/Program",Average,24600
15%,19-3099.00,"Social Scientists and Related Workers, All Other",Much faster than average,23800
,19-3099.01,Transportation Planners,,
15%,43-9022.00,Word Processors and Typists,Decline slowly or moderately,11000
15%,19-1013.00,Soil and Plant Scientists,Faster than average,7000
15%,15-2021.00,Mathematicians,Much faster than average,1500
14%,21-1021.00,"Child, Family, and School Social Workers",Average,109600
14%,13-2031.00,Budget Analysts,Faster than average,22300
14%,19-1029.00,"Biological Scientists, All Other",Faster than average,16100
,19-1029.01,Bioinformatics Scientists,,
,19-1029.02,Molecular and Cellular Biologists,,
,19-1029.03,Geneticists,,
14%,29-1121.00,Audiologists,Much faster than average,5800
14%,27-2023.00,"Umpires, Referees, and Other Sports Officials",Average,4700
13%,43-9061.00,"Office Clerks, General",Average,770900
13%,43-6011.00,Executive Secretaries and Administrative Assistants,Average,419200
13%,15-1041.00,Computer Support Specialists,Faster than average,234600
13%,29-1122.00,Occupational Therapists,Much faster than average,45800
,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",,
13%,11-2031.00,Public Relations Managers,Average,20600
13%,25-4013.00,Museum Technicians and Conservators,Much faster than average,6100
13%,19-2021.00,Atmospheric and Space Scientists,Faster than average,3300
12%,27-4011.00,Audio and Video Equipment Technicians,Average,23700
12%,39-6032.00,"Transportation Attendants, Except Flight Attendants and Baggage Porters",Average,7700
12%,19-2012.00,Physicists,Faster than average,6900
11%,39-9011.00,Child Care Workers,Average,523100
,39-9011.01,Nannies,,
11%,13-1199.00,"Business Operations Specialists, All Other",Average,368300
,13-1199.01,Energy Auditors,,
,13-1199.02,Security Management Specialists,,
,13-1199.03,Customs Brokers,,
,13-1199.04,Business Continuity Planners,,
,13-1199.05,Sustainability Specialists,,
11%,43-4199.00,"Information and Record Clerks, All Other",Decline rapidly,64300
11%,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",Faster than average,29100
,29-9099.01,Midwives,,
,29-9099.02,Genetic Counselors,,
11%,35-9099.00,"Food Preparation and Serving Related Workers, All Other",Little or no change,25600
11%,53-2012.00,Commercial Pilots,Faster than average,20600
11%,27-3099.00,"Media and Communication Workers, All Other",Average,11700
11%,19-2099.00,"Physical Scientists, All Other",Average,10100
,19-2099.01,Remote Sensing Scientists and Technologists,,
11%,19-3039.00,"Psychologists, All Other",Faster than average,6800
,19-3039.01,Neuropsychologists and Clinical Neuropsychologists,,
10%,15-1071.00,Network and Computer Systems Administrators,Much faster than average,135500
,15-1071.01,Computer Security Specialists,,
10%,27-3031.00,Public Relations Specialists,Much faster than average,131300
10%,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",Decline slowly or moderately,48100
10%,15-2041.00,Statisticians,Average,9600
,15-2041.01,Biostatisticians,,
,15-2041.02,Clinical Data Managers,,
10%,19-1041.00,Epidemiologists,Faster than average,1700
