Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
74%,29-1081.00,Podiatrists,Average,3200
73%,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Much faster than average,35500
72%,29-1023.00,Orthodontists,Much faster than average,3600
72%,29-1022.00,Oral and Maxillofacial Surgeons,Faster than average,2900
71%,21-1015.00,Rehabilitation Counselors,Faster than average,50700
71%,31-1013.00,Psychiatric Aides,Slower than average,9800
69%,39-9021.00,Personal and Home Care Aides,Much faster than average,477800
69%,25-2011.00,"Preschool Teachers, Except Special Education",Faster than average,178300
69%,29-1021.00,"Dentists, General",Faster than average,51800
67%,29-2041.00,Emergency Medical Technicians and Paramedics,Average,62000
67%,31-9094.00,Medical Transcriptionists,Average,23500
65%,21-1093.00,Social and Human Service Assistants,Much faster than average,153900
65%,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",Faster than average,29100
,29-9099.01,Midwives,,
,29-9099.02,Genetic Counselors,,
65%,29-1041.00,Optometrists,Much faster than average,20100
65%,29-1024.00,Prosthodontists,Much faster than average,300
64%,11-9031.00,"Education Administrators, Preschool and Child Care Center/Program",Average,24600
64%,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Average,6200
64%,29-1121.00,Audiologists,Much faster than average,5800
62%,29-1031.00,Dietitians and Nutritionists,Average,25700
62%,21-1013.00,Marriage and Family Therapists,Faster than average,9500
57%,39-9041.00,Residential Advisors,Average,25300
55%,29-2081.00,"Opticians, Dispensing",Average,20200
55%,29-1011.00,Chiropractors,Much faster than average,18200
52%,43-4111.00,"Interviewers, Except Eligibility and Loan",Faster than average,92100
51%,21-1091.00,Health Educators,Faster than average,26000
50%,35-3041.00,"Food Servers, Nonrestaurant",Average,51800
49%,11-9151.00,Social and Community Service Managers,Faster than average,48200
42%,29-1199.00,"Health Diagnosing and Treating Practitioners, All Other",Average,15300
,29-1199.01,Acupuncturists,,
,29-1199.02,Nurse Anesthetists,,
,29-1199.03,Nurse Practitioners,,
,29-1199.04,Naturopathic Physicians,,
,29-1199.05,Orthoptists,,
39%,29-1127.00,Speech-Language Pathologists,Faster than average,43800
38%,43-3021.00,Billing and Posting Clerks and Machine Operators,Faster than average,167600
,43-3021.01,Statement Clerks,,
,43-3021.02,"Billing, Cost, and Rate Clerks",,
,43-3021.03,"Billing, Posting, and Calculating Machine Operators",,
38%,35-2012.00,"Cooks, Institution and Cafeteria",Average,138100
38%,21-1029.00,"Social Workers, All Other",Average,27800
38%,29-9091.00,Athletic Trainers,Much faster than average,11500
38%,21-1019.00,"Counselors, All Other",Average,11100
36%,43-4171.00,Receptionists and Information Clerks,Faster than average,480200
36%,21-1021.00,"Child, Family, and School Social Workers",Average,109600
36%,21-1099.00,"Community and Social Service Specialists, All Other",Faster than average,42700
36%,29-1029.00,"Dentists, All Other Specialists",Faster than average,2900
33%,29-1129.00,"Therapists, All Other",Average,10200
31%,43-4071.00,File Clerks,Decline rapidly,51600
30%,43-2011.00,"Switchboard Operators, Including Answering Service",Decline rapidly,32100
27%,19-3031.00,"Clinical, Counseling, and School Psychologists",Average,59900
,19-3031.01,School Psychologists,,
,19-3031.02,Clinical Psychologists,,
,19-3031.03,Counseling Psychologists,,
26%,39-9011.00,Child Care Workers,Average,523100
,39-9011.01,Nannies,,
26%,39-9032.00,Recreation Workers,Faster than average,107200
26%,29-2091.00,Orthotists and Prosthetists,Faster than average,2100
25%,29-1051.00,Pharmacists,Faster than average,105800
24%,49-9062.00,Medical Equipment Repairers,Much faster than average,23200
23%,51-6011.00,Laundry and Dry-Cleaning Workers,Slower than average,47600
23%,51-9083.00,Ophthalmic Laboratory Technicians,Faster than average,12000
20%,29-2052.00,Pharmacy Technicians,Much faster than average,182000
19%,19-3039.00,"Psychologists, All Other",Faster than average,6800
,19-3039.01,Neuropsychologists and Clinical Neuropsychologists,,
18%,37-2012.00,Maids and Housekeeping Cleaners,Slower than average,354400
18%,43-3011.00,Bill and Account Collectors,Faster than average,156900
18%,39-1021.00,First-Line Supervisors/Managers of Personal Service Workers,Faster than average,90800
,39-1021.01,Spa Managers,,
18%,43-5021.00,Couriers and Messengers,Little or no change,28100
18%,19-1041.00,Epidemiologists,Faster than average,1700
15%,19-1042.00,"Medical Scientists, Except Epidemiologists",Much faster than average,66200
15%,39-9099.00,"Personal Care and Service Workers, All Other",Faster than average,39600
15%,51-8021.00,Stationary Engineers and Boiler Operators,Slower than average,9200
15%,13-1061.00,Emergency Management Specialists,Much faster than average,5600
14%,43-1011.00,First-Line Supervisors/Managers of Office and Administrative Support Workers,Average,489000
14%,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",Decline slowly or moderately,48100
13%,35-2021.00,Food Preparation Workers,Slower than average,357000
13%,13-1073.00,Training and Development Specialists,Much faster than average,107100
13%,21-1012.00,"Educational, Vocational, and School Counselors",Faster than average,94400
13%,11-3011.00,Administrative Services Managers,Average,86600
13%,53-3041.00,Taxi Drivers and Chauffeurs,Faster than average,77300
13%,51-9081.00,Dental Laboratory Technicians,Faster than average,15300
13%,29-9012.00,Occupational Health and Safety Technicians,Faster than average,5200
13%,19-1099.00,"Life Scientists, All Other",Faster than average,4800
12%,43-9061.00,"Office Clerks, General",Average,770900
12%,43-6014.00,"Secretaries, Except Legal, Medical, and Executive",Slower than average,365500
12%,31-9011.00,Massage Therapists,Faster than average,39500
12%,27-3091.00,Interpreters and Translators,Much faster than average,23400
11%,25-9041.00,Teacher Assistants,Average,412700
11%,17-2031.00,Biomedical Engineers,Much faster than average,14900
10%,13-1071.00,"Employment, Recruitment, and Placement Specialists",Much faster than average,112300
,13-1071.01,Employment Interviewers,,
,13-1071.02,Personnel Recruiters,,
10%,43-3051.00,Payroll and Timekeeping Clerks,Decline slowly or moderately,49500
10%,37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,Slower than average,38900
10%,43-3061.00,Procurement Clerks,Slower than average,29700
10%,35-9099.00,"Food Preparation and Serving Related Workers, All Other",Little or no change,25600
10%,11-3041.00,Compensation and Benefits Managers,Average,12100
10%,43-2099.00,"Communications Equipment Operators, All Other",Decline rapidly,800
